,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,12,2018/10/14 12:41,3122,街角設置端末（店舗から）,0,802,7,2,,2018/10/14 12:46,2018/10/14 12:50,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 12:47,2018/10/14 12:47,2018/10/14 12:57,2018/10/14 12:57,,2018/10/14 12:41,0:04:24,0:08:48,,00,05,,,,,,
-,-,12,2018/10/14 12:41,3123,街角設置端末（店舗から）,0,638,3,2,,2018/10/14 12:50,2018/10/14 13:03,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 12:50,2018/10/14 12:52,2018/10/14 13:10,2018/10/14 13:14,,2018/10/14 12:41,0:13:19,0:26:38,,00,08,,,,,,
-,-,12,2018/10/14 12:41,3124,街角設置端末（店舗から）,0,730,8,2,,2018/10/14 12:55,2018/10/14 13:02,35.452963 139.642093,横浜赤レンガ倉庫,35.443908 139.635249,イセザキ・モール,2018/10/14 12:57,2018/10/14 12:57,2018/10/14 13:13,2018/10/14 13:13,,2018/10/14 12:41,0:07:33,0:15:06,,00,13,,,,,,
-,-,12,2018/10/14 12:43,3125,街角設置端末（店舗から）,0,919,3,2,,2018/10/14 12:50,2018/10/14 13:03,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/14 12:53,2018/10/14 12:53,2018/10/14 13:13,2018/10/14 13:13,,2018/10/14 12:43,0:12:34,0:25:08,,00,07,,,,,,
★,-,12,2018/10/14 12:43,3126,乗客アプリ（地図から）,2617,650,2,1,,2018/10/14 12:48,2018/10/14 13:05,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/14 12:47,2018/10/14 12:47,2018/10/14 13:00,2018/10/14 13:10,2018/10/14 12:45,2018/10/14 12:45,0:17:04,0:17:04,,00,03,,,,,,
-,-,12,2018/10/14 12:43,3127,街角設置端末（店舗から）,0,1242,10,2,,2018/10/14 12:55,2018/10/14 13:02,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 13:08,2018/10/14 13:08,2018/10/14 13:19,2018/10/14 13:19,,2018/10/14 12:43,0:07:15,0:14:30,,00,11,,,,,,
★,-,12,2018/10/14 12:46,3128,乗客アプリ（地図から）,1782,837,2,3,,2018/10/14 13:00,2018/10/14 13:35,35.443908 139.635249,イセザキ・モール,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/14 13:02,2018/10/14 13:02,2018/10/14 13:25,2018/10/14 13:39,2018/10/14 12:53,2018/10/14 12:53,0:35:13,1:45:39,,00,06,,,,,,
-,-,12,2018/10/14 12:59,3134,乗客アプリ（地図から）,2776,679,4,2,,2018/10/14 13:05,2018/10/14 13:09,35.450447 139.635947,みなとみらい線　馬車道駅,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/14 13:05,2018/10/14 13:05,2018/10/14 13:14,2018/10/14 13:14,,2018/10/14 12:59,0:03:56,0:07:52,,00,06,,,,,,
-,☆,12,2018/10/14 12:01,3113,乗客アプリ（目的地から）,2636,1223,8,1,2018/10/14 12:05,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/14 12:03,,2018/10/14 12:15,,,2018/10/14 12:01,0:00:00,0:00:00,,00,04,,,,,,
★,-,13,2018/10/14 12:58,3133,乗客アプリ（目的地から）,2733,317,3,2,,2018/10/14 13:13,2018/10/14 13:34,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/14 13:20,2018/10/14 13:20,2018/10/14 13:40,2018/10/14 13:47,2018/10/14 13:20,2018/10/14 13:20,0:21:33,0:43:06,420,00,00,07,05,,,,
