,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,11,2018/10/18 11:17,4216,まちかど設置端末（店舗から）,0,775,2,2,,2018/10/18 11:19,2018/10/18 11:25,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/18 11:25,2018/10/18 11:25,2018/10/18 11:37,2018/10/18 11:37,,2018/10/18 11:17,0:05:21,0:10:42,,00,02,,,,,
★,-,11,2018/10/18 11:19,4217,まちかど設置端末（店舗から）,0,435,1,1,,2018/10/18 12:24,2018/10/18 12:35,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 12:30,2018/10/18 12:30,2018/10/18 12:47,2018/10/18 12:47,2018/10/18 12:30,2018/10/18 12:30,0:10:59,0:10:59,,00,00,,,,,
-,-,11,2018/10/18 11:21,4218,乗客アプリ（目的地から）,2314,918,8,1,,2018/10/18 11:30,2018/10/18 11:36,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/18 11:30,2018/10/18 11:30,2018/10/18 11:38,2018/10/18 11:38,,2018/10/18 11:21,0:06:01,0:06:01,,00,09,,,,,
-,-,11,2018/10/18 11:27,4220,まちかど設置端末（地図から）,0,665,3,2,,2018/10/18 11:30,2018/10/18 11:35,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 11:30,2018/10/18 11:30,2018/10/18 11:46,2018/10/18 11:46,,2018/10/18 11:27,0:04:57,0:09:54,,00,02,,,,,
★,-,11,2018/10/18 11:32,4221,乗客アプリ（地図から）,2991,1050,2,1,,2018/10/18 12:32,2018/10/18 12:39,35.453715 139.638133,横浜ワールドポーターズ,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 12:30,2018/10/18 12:33,2018/10/18 12:42,2018/10/18 12:44,2018/10/18 12:30,2018/10/18 12:30,0:06:49,0:06:49,,02,02,,,,,
-,-,11,2018/10/18 11:32,4222,乗客アプリ（地図から）,2303,1217,10,2,,2018/10/18 11:36,2018/10/18 11:40,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 11:41,2018/10/18 11:41,2018/10/18 11:51,2018/10/18 11:51,,2018/10/18 11:32,0:03:59,0:07:58,,00,03,,,,,
-,-,11,2018/10/18 11:33,4223,まちかど設置端末（店舗から）,0,802,3,3,,2018/10/18 11:35,2018/10/18 11:41,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/18 11:41,2018/10/18 11:41,2018/10/18 11:55,2018/10/18 11:55,,2018/10/18 11:33,0:05:39,0:16:57,,00,02,,,,,
★,-,11,2018/10/18 11:35,4224,乗客アプリ（目的地から）,3279,878,9,2,,2018/10/18 11:57,2018/10/18 12:07,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 11:53,2018/10/18 12:00,2018/10/18 12:13,2018/10/18 12:20,2018/10/18 11:50,2018/10/18 11:50,0:09:31,0:19:02,,03,07,,,,,
★,-,11,2018/10/18 11:40,4226,乗客アプリ（地図から）,3029,1037,10,1,,2018/10/18 12:32,2018/10/18 12:32,35.453715 139.638133,横浜ワールドポーターズ,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/18 12:30,2018/10/18 12:30,2018/10/18 12:45,2018/10/18 12:47,2018/10/18 12:30,2018/10/18 12:30,0:00:14,0:00:14,,01,01,,,,,
-,-,11,2018/10/18 11:48,4227,まちかど設置端末（店舗から）,0,1090,7,2,,2018/10/18 11:51,2018/10/18 11:58,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 11:58,2018/10/18 11:58,2018/10/18 12:09,2018/10/18 12:09,,2018/10/18 11:48,0:06:33,0:13:06,,00,02,,,,,
-,-,11,2018/10/18 11:50,4228,まちかど設置端末（地図から）,0,1191,5,2,,2018/10/18 11:53,2018/10/18 11:59,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 11:56,2018/10/18 11:56,2018/10/18 12:09,2018/10/18 12:09,,2018/10/18 11:50,0:05:39,0:11:18,,00,03,,,,,
-,-,11,2018/10/18 11:57,4229,乗客アプリ（目的地から）,2314,783,8,1,,2018/10/18 11:59,2018/10/18 12:08,35.447541 139.644914,シルク博物館,35.448676 139.635696,横浜平和プラザホテル,2018/10/18 12:00,2018/10/18 12:00,2018/10/18 12:09,2018/10/18 12:13,,2018/10/18 11:57,0:08:51,0:08:51,,00,02,,,,,
★,-,11,2018/10/18 11:57,4230,まちかど設置端末（店舗から）,0,379,6,3,,2018/10/18 12:06,2018/10/18 12:11,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 12:08,2018/10/18 12:08,2018/10/18 12:24,2018/10/18 12:24,2018/10/18 12:05,2018/10/18 12:05,0:04:51,0:14:33,,00,01,,,,,
-,-,11,2018/10/18 11:57,4231,まちかど設置端末（地図から）,0,502,7,1,,2018/10/18 12:03,2018/10/18 12:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443704 139.651332,ホテルメルパルク横浜,2018/10/18 12:10,2018/10/18 12:10,2018/10/18 12:33,2018/10/18 12:38,,2018/10/18 11:57,0:22:17,0:22:17,,00,06,,,,,
-,-,11,2018/10/18 11:58,4232,乗客アプリ（地図から）,2640,1177,8,1,,2018/10/18 12:00,2018/10/18 12:22,35.447546 139.64358,横浜開港資料館,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 12:05,2018/10/18 12:05,2018/10/18 12:23,2018/10/18 12:23,,2018/10/18 11:58,0:22:39,0:22:39,,00,01,,,,,
★,-,11,2018/10/18 11:59,4233,乗客アプリ（地図から）,2874,399,7,1,,2018/10/18 12:08,2018/10/18 12:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/18 12:11,2018/10/18 12:11,2018/10/18 12:34,2018/10/18 12:34,2018/10/18 12:10,2018/10/18 12:10,0:14:11,0:14:11,,00,00,,,,,
-,☆,11,2018/10/18 11:22,4219,まちかど設置端末（地図から）,0,1026,9,1,2018/10/18 11:37,,,35.447541 139.644914,シルク博物館,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/18 11:23,,2018/10/18 11:40,,,2018/10/18 11:22,0:00:00,0:00:00,,00,14,,,,,
