,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,-,11,2018/10/27 11:10,6920,乗客アプリ（地図から）,1340,659,6,1,,2018/10/27 11:13,2018/10/27 11:18,35.450681 139.632446,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/10/27 11:14,2018/10/27 11:14,2018/10/27 11:23,2018/10/27 11:23,,2018/10/27 11:10,0:04:56,0:04:56,,00,03,,,2018/10/27 11:10,2018/10/27 11:18,43400.465277777843400.4708333333,#N/A,,,,
-,-,11,2018/10/27 11:11,6921,乗客アプリ（地図から）,1338,1300,2,1,,2018/10/27 11:13,2018/10/27 11:21,35.441441 139.648505,横浜中華街朱雀門,35.443908 139.635249,イセザキ・モール,2018/10/27 11:14,2018/10/27 11:14,2018/10/27 11:22,2018/10/27 11:22,,2018/10/27 11:11,0:07:58,0:07:58,,00,02,,,2018/10/27 11:11,2018/10/27 11:21,43400.465972222243400.4729166667,#N/A,,,,
-,-,11,2018/10/27 11:22,6922,乗客アプリ（地図から）,3698,782,2,2,,2018/10/27 11:28,2018/10/27 11:38,35.443908 139.635249,イセザキ・モール,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/27 11:24,2018/10/27 11:24,2018/10/27 11:38,2018/10/27 11:38,,2018/10/27 11:22,0:10:05,0:20:10,,04,05,,,2018/10/27 11:22,2018/10/27 11:38,43400.473611111143400.4847222222,#N/A,,,,
★,-,11,2018/10/27 11:40,6923,乗客アプリ（目的地から）,4159,606,7,3,,2018/10/27 12:01,2018/10/27 12:10,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/27 12:10,2018/10/27 12:10,2018/10/27 12:24,2018/10/27 12:24,2018/10/27 12:10,2018/10/27 12:10,0:08:47,0:26:21,,00,00,,,2018/10/27 11:40,2018/10/27 12:10,43400.486111111143400.5069444444,#N/A,,,,
-,-,11,2018/10/27 11:45,6925,乗客アプリ（地図から）,2073,309,3,1,,2018/10/27 11:47,2018/10/27 11:54,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 11:48,2018/10/27 11:48,2018/10/27 11:58,2018/10/27 11:58,,2018/10/27 11:45,0:06:54,0:06:54,,00,02,,,2018/10/27 11:45,2018/10/27 11:54,43400.489583333343400.4958333333,#N/A,,,,
-,-,11,2018/10/27 11:46,6926,乗客アプリ（地図から）,1340,836,9,1,,2018/10/27 11:51,2018/10/27 11:57,35.456605 139.635327,横浜ベイホテル東急,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/27 11:53,2018/10/27 11:53,2018/10/27 11:59,2018/10/27 11:59,,2018/10/27 11:46,0:05:52,0:05:52,,00,05,,,2018/10/27 11:46,2018/10/27 11:57,43400.490277777843400.4979166667,肯定的,,,,
-,-,11,2018/10/27 11:46,6927,まちかど設置端末（店舗から）,0,1282,8,3,,2018/10/27 11:49,2018/10/27 11:57,35.452963 139.642093,横浜赤レンガ倉庫,35.445857 139.647636,ホテルモントレ横浜,2018/10/27 11:49,2018/10/27 11:49,2018/10/27 11:58,2018/10/27 11:58,,2018/10/27 11:46,0:07:56,0:23:48,,00,03,,,2018/10/27 11:46,2018/10/27 11:57,43400.490277777843400.4979166667,時間かぶり,,,,
-,-,11,2018/10/27 11:48,6928,まちかど設置端末（地図から）,0,337,4,2,,2018/10/27 11:56,2018/10/27 11:59,35.441002 139.650809,横浜元町ショッピングストリート,35.441441 139.648505,横浜中華街朱雀門,2018/10/27 11:51,2018/10/27 11:51,2018/10/27 11:54,2018/10/27 11:54,,2018/10/27 11:48,0:02:40,0:05:20,,05,07,,,2018/10/27 11:48,2018/10/27 11:59,43400.491666666743400.4993055556,#N/A,,,,
★,-,11,2018/10/27 11:49,6929,まちかど設置端末（地図から）,0,353,9,2,,2018/10/27 12:12,2018/10/27 12:20,35.450681 139.632446,横浜桜木町ワシントンホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/27 12:18,2018/10/27 12:18,2018/10/27 12:30,2018/10/27 12:30,2018/10/27 12:18,2018/10/27 12:18,0:08:02,0:16:04,,00,00,,,2018/10/27 11:49,2018/10/27 12:20,43400.492361111143400.5138888889,#N/A,,,,
★,-,11,2018/10/27 11:55,6930,まちかど設置端末（店舗から）,0,608,8,4,,2018/10/27 12:23,2018/10/27 12:37,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/27 12:24,2018/10/27 12:24,2018/10/27 12:38,2018/10/27 12:47,2018/10/27 12:24,2018/10/27 12:24,0:14:53,0:59:32,,00,00,,,2018/10/27 11:55,2018/10/27 12:37,43400.496527777843400.5256944444,#N/A,,,,
