,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,,
★,☆,10,2018/11/22 10:19,019-750-RED,17573,乗客アプリ（地図から）,6956,649,11,1,2018/11/22 10:30,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/11/22 10:29,,2018/11/22 10:42,,2018/11/22 10:29,2018/11/22 10:29,0:00:00,0:00:00,,00,00,,,,,,
★,☆,10,2018/11/22 10:22,022-247-GREEN,17579,乗客アプリ（目的地から）,1312,79,15,1,2018/11/22 10:31,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:32,,2018/11/22 10:41,,2018/11/22 10:32,2018/11/22 10:32,0:00:00,0:00:00,,00,00,,,,,,
-,☆,10,2018/11/22 10:23,167-846-CAKE,17582,乗客アプリWeb（地図から）,6182,582,4,1,2018/11/22 10:32,,,35.443908 139.635249,イセザキ・モール,35.453715 139.638133,横浜ワールドポーターズ,2018/11/22 10:29,,2018/11/22 10:37,,,2018/11/22 10:23,0:00:00,0:00:00,,00,08,,,,,,
★,☆,10,2018/11/22 10:29,069-630-BANANA,17588,乗客アプリ（目的地から）,6959,836,3,1,2018/11/22 10:40,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:39,,2018/11/22 10:50,,2018/11/22 10:39,2018/11/22 10:39,0:00:00,0:00:00,,00,00,,,,,,
★,-,11,2018/11/22 10:25,024-852-GREEN,17583,乗客アプリ（地図から）,3203,861,8,1,,2018/11/22 11:24,2018/11/22 11:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 11:25,2018/11/22 11:25,2018/11/22 11:29,2018/11/22 11:30,2018/11/22 11:25,2018/11/22 11:25,0:03:39,0:03:39,540,00,00,07,04,,,,
★,-,11,2018/11/22 10:56,115-903-SUN,17597,乗客アプリ（地図から）,6690,112,9,1,,2018/11/22 11:05,2018/11/22 11:11,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/22 11:06,2018/11/22 11:06,2018/11/22 11:14,2018/11/22 11:14,2018/11/22 11:06,2018/11/22 11:06,0:06:05,0:06:05,,00,00,,,,,,
★,-,11,2018/11/22 11:00,111-313-SUN 111-703-SUN 111-888-SUN 111-702-SUN,17598,乗客アプリ（目的地から）,6259,546,7,4,,2018/11/22 11:19,2018/11/22 11:26,35.450447 139.635947,馬車道駅（みなとみらい線）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/22 11:10,2018/11/22 11:10,2018/11/22 11:25,2018/11/22 11:25,2018/11/22 11:10,2018/11/22 11:10,0:07:28,0:29:52,,08,08,,,,,,
-,-,11,2018/11/22 11:01,167-847-CAKE,17599,乗客アプリWeb（地図から）,1108,728,13,1,,2018/11/22 11:08,2018/11/22 11:17,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/22 11:06,2018/11/22 11:06,2018/11/22 11:15,2018/11/22 11:15,,2018/11/22 11:01,0:08:39,0:08:39,,02,07,,,,,,
-,-,11,2018/11/22 11:02,070-801-ORANGE 069-616-BANANA,17600,乗客アプリ（簡単予約）,6916,319,15,2,,2018/11/22 11:09,2018/11/22 11:18,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/22 11:09,2018/11/22 11:09,2018/11/22 11:22,2018/11/22 11:22,,2018/11/22 11:02,0:08:25,0:16:50,,00,07,,,,,,
-,-,11,2018/11/22 11:02,118-014-SUN,17601,乗客アプリ（地図から）,6535,675,5,1,,2018/11/22 11:06,2018/11/22 11:22,35.445783 139.642958,横浜情報文化センター,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/22 11:05,2018/11/22 11:05,2018/11/22 11:13,2018/11/22 11:23,,2018/11/22 11:02,0:16:04,0:16:04,,01,03,,,,,,
