,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,☆,10,2018/11/25 10:23,012-268-RED,19710,乗客アプリ（Myルートから）,2678,817,8,1,2018/11/25 10:23,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/25 10:33,,2018/11/25 10:53,,2018/11/25 10:33,2018/11/25 10:33,0:00:00,0:00:00,,00,,,,,※同一人物と思われるため一番短いものを採用,,
-,☆,10,2018/11/25 10:25,117-224-SUN,19714,乗客アプリ（目的地から）,5257,280,11,1,2018/11/25 10:30,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 10:29,,2018/11/25 10:41,,,2018/11/25 10:25,0:00:00,0:00:00,,00,05,,,,,,
-,☆,10,2018/11/25 10:27,167-923-CAKE,19715,乗客アプリWeb（目的地から）,7359,135,2,1,2018/11/25 10:28,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:30,,2018/11/25 10:36,,,2018/11/25 10:27,0:00:00,0:00:00,,00,02,,,,,,
★,☆,10,2018/11/25 10:29,028-553-GREEN 028-555-GREEN,19718,乗客アプリ（地図から）,4750,776,11,2,2018/11/25 10:39,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/25 10:39,,2018/11/25 10:58,,2018/11/25 10:39,2018/11/25 10:39,0:00:00,0:00:00,,00,00,,,,,,
★,☆,10,2018/11/25 10:49,070-551-ORANGE,19728,乗客アプリ（地図から）,3653,168,4,1,2018/11/25 10:49,,,35.445857 139.647636,ホテルモントレ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/25 10:59,,2018/11/25 11:31,,2018/11/25 10:59,2018/11/25 10:59,0:00:00,0:00:00,,00,00,,,,※53行と同一人物と思われるため一番短いものを採用,,
★,☆,10,2018/11/25 10:49,070-551-ORANGE 070-550-ORANGE,19729,乗客アプリ（地図から）,3653,378,4,2,2018/11/25 10:49,,,35.445857 139.647636,ホテルモントレ横浜,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/25 10:59,,2018/11/25 11:32,,2018/11/25 10:59,2018/11/25 10:59,0:00:00,0:00:00,,00,,,,,※52行と同一人物と思われるため一番短いものを採用,,
★,-,10,2018/11/25 10:25,105-725-SNOW,19713,乗客アプリ（Myルートから）,6349,259,7,1,,2018/11/25 11:23,2018/11/25 11:32,35.443073 139.651914,横浜人形の家,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/25 11:25,2018/11/25 11:25,2018/11/25 11:34,2018/11/25 11:34,2018/11/25 11:25,2018/11/25 11:25,0:09:28,0:09:28,963,00,00,05,04,,,,
★,-,10,2018/11/25 10:29,076-645-ORANGE 065-866-BANANA 065-868-BANANA 065-867-BANANA,19717,乗客アプリ（目的地から）,7358,226,6,4,,2018/11/25 11:25,2018/11/25 11:37,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/25 11:29,2018/11/25 11:29,2018/11/25 11:46,2018/11/25 11:46,2018/11/25 11:29,2018/11/25 11:29,0:12:29,0:49:56,,00,00,,,,,,
★,-,10,2018/11/25 10:29,025-580-GREEN 025-581-GREEN 025-582-GREEN,19719,乗客アプリ（目的地から）,2825,794,3,3,,2018/11/25 11:28,2018/11/25 11:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/25 11:29,2018/11/25 11:29,2018/11/25 11:37,2018/11/25 11:37,2018/11/25 11:29,2018/11/25 11:29,0:07:51,0:23:33,,00,00,,,,,,
★,-,10,2018/11/25 10:36,103-080-SNOW 103-083-SNOW,19723,まちかど端末（店舗から）,0,30,11,2,,2018/11/25 11:29,2018/11/25 11:37,35.441002 139.650809,横浜元町ショッピングストリート,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/25 11:35,2018/11/25 11:35,2018/11/25 11:44,2018/11/25 11:44,2018/11/25 11:35,2018/11/25 11:35,0:07:50,0:15:40,,00,00,,,,,,
