,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,11,2018/11/19 11:30,019-921-RED 019-922-RED,16253,まちかど端末（店舗から）,0,655,5,2,,2018/11/19 11:37,2018/11/19 11:47,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/19 11:37,2018/11/19 11:37,2018/11/19 11:51,2018/11/19 11:51,,2018/11/19 11:30,0:10:22,0:20:44,,00,06,,,,,
-,-,11,2018/11/19 11:32,166-731-agekke,16255,乗客アプリ（地図から）,3744,712,11,1,,2018/11/19 11:41,2018/11/19 11:46,35.441441 139.648505,横浜中華街朱雀門,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/19 11:41,2018/11/19 11:41,2018/11/19 11:48,2018/11/19 11:48,,2018/11/19 11:32,0:05:12,0:05:12,,00,08,,,,,
-,-,11,2018/11/19 11:33,167-783-CAKE,16256,乗客アプリWeb（地図から）,6689,597,7,2,,2018/11/19 11:40,2018/11/19 11:48,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/11/19 11:40,2018/11/19 11:40,2018/11/19 11:55,2018/11/19 11:55,,2018/11/19 11:33,0:08:06,0:16:12,,00,07,,,,,
-,-,11,2018/11/19 11:34,069-513-BANANA 069-512-BANANA 069-511-BANANA,16257,まちかど端末（乗降ポイントから）,0,815,15,3,,2018/11/19 11:43,2018/11/19 11:53,35.441002 139.650809,横浜元町ショッピングストリート,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 11:41,2018/11/19 11:41,2018/11/19 11:56,2018/11/19 11:56,,2018/11/19 11:34,0:09:36,0:28:48,,02,09,,,,,
-,-,11,2018/11/19 11:36,027-416-GREEN 027-411-GREEN 027-415-GREEN,16258,乗客アプリ（地図から）,2176,381,13,3,,2018/11/19 11:43,2018/11/19 11:48,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.456605 139.635327,横浜ベイホテル東急,2018/11/19 11:45,2018/11/19 11:45,2018/11/19 11:54,2018/11/19 11:54,,2018/11/19 11:36,0:05:14,0:15:42,,00,06,,,,,
-,-,11,2018/11/19 11:40,167-788-CAKE,16260,乗客アプリWeb（簡単予約）,5707,981,8,1,,2018/11/19 11:48,2018/11/19 11:57,35.443908 139.635249,イセザキ・モール,35.454389 139.630904,横浜ランドマークタワー,2018/11/19 11:46,2018/11/19 11:47,2018/11/19 11:57,2018/11/19 12:01,,2018/11/19 11:40,0:09:44,0:09:44,,01,07,,,,,
-,-,11,2018/11/19 11:40,069-666-BANANA 069-665-BANANA,16261,まちかど端末（乗降ポイントから）,0,639,9,2,,2018/11/19 11:48,2018/11/19 12:03,35.456605 139.635327,横浜ベイホテル東急,35.443704 139.651332,ホテルメルパルク横浜,2018/11/19 11:48,2018/11/19 11:48,2018/11/19 12:01,2018/11/19 12:16,,2018/11/19 11:40,0:15:12,0:30:24,,00,07,,,,,
-,-,11,2018/11/19 11:40,020-743-GREEN,16262,まちかど端末（乗降ポイントから）,0,662,11,1,,2018/11/19 11:51,2018/11/19 12:24,35.445783 139.642958,横浜情報文化センター,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/19 11:51,2018/11/19 11:52,2018/11/19 12:06,2018/11/19 12:23,,2018/11/19 11:40,0:32:33,0:32:33,,00,10,,,,,
-,-,11,2018/11/19 11:41,167-789-CAKE,16263,乗客アプリWeb（地図から）,6696,856,7,1,,2018/11/19 11:55,2018/11/19 11:59,35.450554 139.632616,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/19 11:59,2018/11/19 11:59,2018/11/19 12:06,2018/11/19 12:06,,2018/11/19 11:41,0:04:23,0:04:23,,00,13,,,,,
-,-,11,2018/11/19 11:41,022-274-GREEN,16264,乗客アプリ（目的地から）,6333,453,6,1,,2018/11/19 11:48,2018/11/19 11:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 11:47,2018/11/19 11:47,2018/11/19 11:56,2018/11/19 11:56,,2018/11/19 11:41,0:02:56,0:02:56,,00,06,,,,,
-,-,11,2018/11/19 11:42,016-840-RED 016-838-RED 016-839-RED,16265,まちかど端末（店舗から）,0,596,13,3,,2018/11/19 11:53,2018/11/19 12:03,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/11/19 12:01,2018/11/19 12:01,2018/11/19 12:07,2018/11/19 12:09,,2018/11/19 11:42,0:09:44,0:29:12,,00,11,,,,,
-,-,11,2018/11/19 11:44,111-631-SUN,16266,乗客アプリ（目的地から）,4397,609,8,1,,2018/11/19 11:53,2018/11/19 11:57,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/11/19 11:51,2018/11/19 11:51,2018/11/19 12:01,2018/11/19 12:01,,2018/11/19 11:44,0:04:19,0:04:19,,02,09,,,,,
